iter	Recall	Logloss
0	0.4401337793	0.6856479167
1	0.456187291	0.6786410156
2	0.4334448161	0.6717530382
3	0.4474916388	0.6651741319
4	0.4481605351	0.6588391927
5	0.4301003344	0.6534838542
6	0.4307692308	0.6471231337
7	0.4314381271	0.6409256076
8	0.4314381271	0.6351141493
9	0.4314381271	0.6292695312
10	0.4321070234	0.6234595486
11	0.4327759197	0.617762934
12	0.4327759197	0.612443316
13	0.4347826087	0.6072009549
14	0.4327759197	0.6030591146
15	0.4334448161	0.5981273437
16	0.4334448161	0.5932080729
17	0.4334448161	0.5886665799
18	0.4334448161	0.5842621528
19	0.4334448161	0.5799596354
20	0.4341137124	0.5755627604
21	0.4334448161	0.5721546007
22	0.4334448161	0.5690437066
23	0.4334448161	0.5651336806
24	0.4341137124	0.5619861111
25	0.4341137124	0.5586701823
26	0.4341137124	0.5550976128
27	0.4341137124	0.5516096788
28	0.4341137124	0.5480448351
29	0.4341137124	0.5454928385
30	0.4341137124	0.5428603733
31	0.4341137124	0.5398539497
32	0.4341137124	0.5372667535
33	0.4341137124	0.5342868056
34	0.4341137124	0.5318609375
35	0.4341137124	0.5295161458
36	0.4341137124	0.5264510417
37	0.4341137124	0.5243788628
38	0.4341137124	0.5222128038
39	0.4341137124	0.5194951823
40	0.4341137124	0.5169443576
41	0.4341137124	0.5147200955
42	0.4341137124	0.5129091146
43	0.4341137124	0.5104071615
44	0.4341137124	0.508562934
45	0.4341137124	0.5067981771
46	0.4347826087	0.5050774306
47	0.4347826087	0.5032512587
48	0.4347826087	0.5014761719
49	0.4347826087	0.4996105035
50	0.4347826087	0.4977326389
51	0.435451505	0.4955546875
52	0.435451505	0.4936015625
53	0.435451505	0.4915165799
54	0.435451505	0.4897713976
55	0.4401337793	0.4879233507
56	0.4401337793	0.4861463542
57	0.4401337793	0.4847040365
58	0.4394648829	0.4831619358
59	0.4367892977	0.4820065104
60	0.4394648829	0.4805429688
61	0.4401337793	0.4789271267
62	0.4421404682	0.4773808594
63	0.4428093645	0.4759637153
64	0.4461538462	0.4745936632
65	0.4474916388	0.473211849
66	0.4474916388	0.4718438368
67	0.4468227425	0.4703752604
68	0.4441471572	0.4693953125
69	0.4441471572	0.4680466146
70	0.4421404682	0.4670762587
71	0.4408026756	0.4664154948
72	0.4434782609	0.4652168403
73	0.4414715719	0.4645854167
74	0.4408026756	0.4635203125
75	0.4408026756	0.4623723958
76	0.4441471572	0.4614378906
77	0.4441471572	0.4603061632
78	0.4474916388	0.4592682292
79	0.4461538462	0.4585928385
80	0.4461538462	0.4576853733
81	0.4488294314	0.4566152778
82	0.4488294314	0.4556166233
83	0.4488294314	0.454565625
84	0.4494983278	0.4538075087
85	0.4494983278	0.4525455295
86	0.4488294314	0.4518264757
87	0.4488294314	0.4510152778
88	0.4488294314	0.4503141059
89	0.4501672241	0.4493117622
90	0.4501672241	0.448563151
91	0.4488294314	0.4478821181
92	0.4488294314	0.4472139323
93	0.4488294314	0.4466826389
94	0.4501672241	0.4459577257
95	0.4501672241	0.4453051215
96	0.4501672241	0.4446036024
97	0.4508361204	0.4440102431
98	0.4508361204	0.4431885851
99	0.4501672241	0.4427561198
100	0.4501672241	0.4418898438
101	0.4501672241	0.4411305556
102	0.4501672241	0.4407210938
103	0.4474916388	0.4402242622
104	0.4494983278	0.4395907986
105	0.4488294314	0.4390483507
106	0.4494983278	0.4382119792
107	0.4488294314	0.4377934028
108	0.4488294314	0.4369919705
109	0.4501672241	0.4364432726
110	0.4501672241	0.4357573351
111	0.4501672241	0.4351405382
112	0.4515050167	0.4343931424
113	0.4515050167	0.4340101997
114	0.4535117057	0.4335716146
115	0.4535117057	0.4331659288
116	0.4528428094	0.4329294705
117	0.4528428094	0.432402908
118	0.4555183946	0.4320142361
119	0.4555183946	0.4315553819
120	0.4588628763	0.4309414931
121	0.4628762542	0.430305599
122	0.4635451505	0.4298574653
123	0.4642140468	0.4294256944
124	0.4635451505	0.4291120226
125	0.4635451505	0.4286319878
