iter	Passed	Remaining
0	208	207962
1	251	125585
2	291	96711
3	330	82330
4	365	72650
5	400	66282
6	442	62789
7	484	60077
8	524	57805
9	603	59736
10	784	70546
11	903	74360
12	945	71799
13	989	69656
14	1023	67219
15	1065	65540
16	1107	64030
17	1146	62563
18	1186	61240
19	1225	60051
20	1408	65658
21	1442	64145
22	1476	62709
23	1515	61644
24	1550	60478
25	1590	59573
26	1629	58722
27	1670	57989
28	1723	57700
29	1754	56723
30	1789	55928
31	1830	55370
32	1865	54650
33	1939	55099
34	1974	54445
35	2009	53812
36	2193	57077
37	2224	56316
38	2258	55648
39	2299	55194
40	2338	54700
41	2377	54234
42	2408	53604
43	2482	53938
44	2517	53418
45	2550	52904
46	2585	52419
47	2624	52045
48	2663	51688
49	2702	51352
50	2744	51066
51	2818	51381
52	2857	51056
53	2934	51415
54	2970	51031
55	3152	53149
56	3192	52822
57	3231	52481
58	3273	52208
59	3304	51770
60	3380	52036
61	3433	51950
62	3476	51699
63	3517	51444
64	3559	51196
65	3610	51090
66	3649	50827
67	3772	51710
68	3807	51380
69	3859	51271
70	3893	50943
71	3921	50540
72	3963	50325
73	3991	49944
74	4030	49712
75	4069	49478
76	4111	49279
77	4149	49052
78	4202	48990
79	4233	48680
80	4272	48470
81	4325	48427
82	4366	48245
83	4551	49636
84	4585	49363
85	4706	50016
86	4738	49724
87	4790	49650
88	4825	49393
89	5011	50667
90	5045	50397
91	5083	50174
92	5124	49981
93	5158	49722
94	5210	49636
95	5244	49389
96	5284	49193
97	5325	49019
98	5401	49159
99	5433	48898
100	5615	49987
101	5691	50107
102	5726	49870
103	5765	49670
104	5805	49486
105	5840	49257
106	6027	50305
107	6062	50068
108	6244	51044
109	6293	50921
110	6370	51019
111	6407	50800
112	6524	51210
113	6555	50946
114	6594	50746
115	6625	50492
116	6654	50218
117	6726	50277
118	6760	50050
119	6794	49825
120	6975	50676
121	7163	51552
122	7197	51316
123	7237	51130
124	7271	50899
125	7309	50705
126	7358	50582
127	7538	51358
128	7570	51113
129	7608	50919
130	7684	50974
131	7715	50735
132	7749	50516
133	7787	50329
134	7824	50136
135	7859	49932
136	8045	50683
137	8079	50468
138	8117	50281
139	8151	50073
140	8269	50381
141	8308	50201
142	8426	50500
143	8546	50802
144	8594	50677
145	8633	50497
146	8671	50316
147	8716	50176
148	8753	49995
149	8787	49795
150	8831	49653
151	8884	49565
152	8915	49355
153	8969	49273
154	9151	49893
155	9186	49700
156	9364	50284
157	9549	50889
158	9662	51108
159	9843	51677
160	9885	51514
161	9958	51516
162	9990	51298
163	10042	51190
164	10077	50999
165	10128	50887
166	10312	51440
167	10431	51659
168	10554	51900
169	10591	51711
170	10641	51591
171	10672	51374
172	10708	51188
173	10762	51089
174	10794	50886
175	10846	50782
176	10963	50978
177	11146	51473
178	11183	51292
179	11254	51270
180	11285	51064
181	11323	50893
182	11442	51086
183	11495	50978
184	11573	50985
185	11613	50824
186	11689	50821
187	11721	50625
188	11908	51101
189	11941	50908
190	11975	50725
191	12011	50547
192	12193	50987
193	12236	50836
194	12267	50642
195	12447	51058
196	12482	50879
197	12603	51049
198	12786	51466
199	12824	51298
200	12863	51133
201	12938	51115
202	12991	51005
203	13024	50822
204	13092	50774
205	13144	50662
206	13185	50510
207	13368	50901
208	13407	50743
209	13458	50628
210	13494	50459
211	13528	50286
212	13710	50657
213	13904	51070
214	14018	51183
215	14201	51546
216	14387	51913
217	14416	51714
218	14446	51518
219	14630	51871
220	14666	51697
221	14846	52028
222	14886	51869
223	14916	51674
224	14951	51501
225	15132	51823
226	15168	51651
227	15286	51760
228	15317	51571
229	15499	51891
230	15549	51765
231	15622	51714
232	15651	51520
233	15689	51358
234	15720	51173
235	15774	51067
236	15963	51392
237	15989	51192
238	16024	51022
239	16074	50903
240	16114	50751
241	16147	50577
242	16178	50399
243	16238	50312
244	16426	50621
245	16456	50439
246	16638	50725
247	16670	50548
248	16857	50844
249	16890	50671
250	16918	50485
251	16956	50330
252	17143	50616
253	17195	50504
254	17385	50792
255	17571	51067
256	17746	51305
257	17777	51128
258	17961	51387
259	17999	51229
260	18190	51505
261	18263	51443
262	18445	51688
263	18628	51933
264	18667	51775
265	18846	52006
266	18879	51829
267	18969	51813
268	18999	51630
269	19039	51478
270	19222	51709
271	19273	51584
272	19302	51402
273	19336	51233
274	19361	51043
275	19549	51282
276	19728	51492
277	19778	51366
278	19958	51577
279	20143	51798
280	20176	51625
281	20216	51473
282	20405	51699
283	20446	51548
284	20475	51367
285	20509	51203
286	20538	51023
287	20573	50862
288	20602	50686
289	20676	50621
290	20798	50674
291	20985	50882
292	21172	51089
293	21351	51271
294	21428	51211
295	21464	51051
296	21583	51087
297	21767	51278
298	21956	51476
299	22144	51671
300	22328	51852
301	22514	52036
302	22699	52215
303	22888	52401
304	23069	52569
305	23188	52590
306	23371	52757
307	23416	52611
308	23608	52795
309	23640	52618
310	23676	52453
311	23859	52614
312	23975	52624
313	24009	52453
314	24082	52370
315	24263	52518
316	24297	52351
317	24371	52268
318	24414	52120
319	24597	52269
320	24633	52106
321	24813	52248
322	24856	52099
323	25041	52246
324	25218	52377
325	25408	52532
326	25603	52693
327	25784	52827
328	25896	52815
329	25937	52661
330	25965	52479
331	26013	52339
332	26194	52467
333	26377	52596
334	26408	52422
335	26593	52554
336	26637	52405
337	26670	52236
338	26852	52358
339	26890	52198
340	27083	52339
341	27109	52158
342	27156	52017
343	27343	52144
344	27393	52008
345	27423	51835
346	27612	51962
347	27645	51796
348	27832	51916
349	27950	51908
350	27981	51738
351	28165	51849
352	28352	51966
353	28542	52085
354	28727	52195
355	28916	52309
356	29101	52415
357	29142	52261
358	29219	52171
359	29408	52282
360	29524	52259
361	29600	52169
362	29635	52005
363	29664	51831
364	29784	51816
365	29812	51643
366	29840	51469
367	30028	51570
368	30216	51670
369	30258	51520
370	30294	51361
371	30375	51279
372	30416	51128
373	30608	51233
374	30687	51145
375	30891	51266
376	31094	51383
377	31288	51485
378	31483	51586
379	31539	51459
380	31568	51288
381	31760	51381
382	31792	51216
383	31841	51079
384	32031	51166
385	32160	51156
386	32361	51259
387	32555	51349
388	32745	51432
389	32865	51404
390	33051	51479
391	33101	51340
392	33301	51435
393	33333	51268
394	33370	51111
395	33567	51199
396	33603	51039
397	33634	50874
398	33825	50950
399	33861	50792
400	34049	50861
401	34250	50950
402	34451	51035
403	34638	51100
404	34676	50944
405	34762	50858
406	34808	50716
407	35005	50791
408	35042	50635
409	35235	50704
410	35424	50766
411	35616	50831
412	35647	50666
413	35835	50723
414	36025	50783
415	36219	50846
416	36407	50901
417	36446	50745
418	36501	50613
419	36530	50446
420	36565	50288
421	36604	50136
422	36798	50195
423	36978	50234
424	37162	50278
425	37349	50325
426	37472	50285
427	37657	50326
428	37711	50193
429	37899	50238
430	37934	50080
431	37983	49941
432	38017	49782
433	38092	49678
434	38173	49581
435	38373	49639
436	38420	49497
437	38607	49538
438	38637	49374
439	38715	49274
440	38842	49235
441	38892	49099
442	39084	49141
443	39277	49185
444	39314	49032
445	39505	49072
446	39703	49118
447	39893	49153
448	40084	49190
449	40118	49034
450	40152	48877
451	40350	48920
452	40401	48784
453	40582	48806
454	40624	48660
455	40814	48690
456	40842	48528
457	40878	48375
458	40906	48214
459	40958	48081
460	40984	47919
461	41169	47941
462	41290	47889
463	41481	47918
464	41514	47763
465	41545	47607
466	41586	47463
467	41777	47490
468	41998	47550
469	42136	47515
470	42190	47385
471	42391	47421
472	42476	47326
473	42675	47357
474	42875	47388
475	42917	47245
476	43123	47281
477	43327	47316
478	43363	47166
479	43564	47195
480	43617	47063
481	43818	47090
482	44017	47115
483	44105	47021
484	44140	46870
485	44193	46739
486	44291	46656
487	44420	46605
488	44472	46473
489	44615	46436
490	44826	46469
491	44864	46323
492	45061	46341
493	45105	46201
494	45307	46222
495	45341	46073
496	45542	46092
497	45742	46109
498	45791	45975
499	45877	45877
500	46087	45903
501	46134	45767
502	46339	45786
503	46373	45637
504	46409	45490
505	46471	45369
506	46561	45276
507	46757	45284
508	46965	45304
509	47173	45323
510	47374	45334
511	47418	45195
512	47618	45204
513	47822	45217
514	48021	45223
515	48222	45231
516	48418	45233
517	48463	45095
518	48663	45100
519	48858	45100
520	48896	44954
521	48948	44822
522	48999	44690
523	49198	44692
524	49237	44548
525	49438	44551
526	49568	44488
527	49618	44355
528	49655	44211
529	49853	44209
530	49905	44078
531	49967	43956
532	50002	43810
533	50206	43813
534	50363	43774
535	50504	43720
536	50547	43582
537	50750	43580
538	50946	43573
539	51151	43573
540	51185	43427
541	51228	43288
542	51438	43291
543	51474	43147
544	51529	43020
545	51726	43010
546	51921	42998
547	52009	42898
548	52062	42768
549	52259	42757
550	52293	42613
551	52500	42609
552	52551	42478
553	52643	42380
554	52845	42371
555	52981	42308
556	53016	42165
557	53216	42153
558	53269	42025
559	53314	41890
560	53359	41755
561	53564	41746
562	53652	41644
563	53860	41637
564	53999	41575
565	54206	41564
566	54413	41553
567	54457	41418
568	54506	41287
569	54703	41267
570	54902	41248
571	55097	41226
572	55298	41208
573	55495	41186
574	55691	41163
575	55904	41152
576	55989	41046
577	56025	40904
578	56157	40833
579	56358	40811
580	56404	40677
581	56612	40659
582	56818	40640
583	56869	40509
584	56929	40385
585	56979	40254
586	57199	40244
587	57397	40217
588	57602	40194
589	57650	40062
590	57849	40034
591	57902	39905
592	58100	39876
593	58189	39772
594	58236	39639
595	58327	39537
596	58361	39396
597	58562	39368
598	58761	39338
599	58847	39231
600	59053	39205
601	59120	39085
602	59321	39055
603	59520	39023
604	59719	38990
605	59761	38854
606	59815	38727
607	59849	38587
608	60046	38551
